paper,model,peft,dataset,seed,strict_f1,accuracy,beta,lambda,train_min,gpu,source
P9_DPO,Qwen2.5-0.5B-Instruct,P9_DPO,salad,42,0.8214,0.994,0.5,,0.9,NVIDIA GeForce RTX 4090,p9
P9_DPO,Qwen2.5-0.5B-Instruct,P9_DPO,salad,77,0.75,0.99,0.01,,0.9,NVIDIA GeForce RTX 4090,p9
P9_DPO,Qwen2.5-0.5B-Instruct,P9_DPO,salad,77,0.75,0.99,0.05,,0.9,NVIDIA GeForce RTX 4090,p9
P9_DPO,Qwen2.5-0.5B-Instruct,P9_DPO,salad,77,0.75,0.99,0.1,,0.9,NVIDIA GeForce RTX 4090,p9
P9_DPO,Qwen2.5-0.5B-Instruct,P9_DPO,salad,77,1.0,1.0,0.5,,0.9,NVIDIA GeForce RTX 4090,p9
P9_ORPO,Qwen2.5-0.5B-Instruct,P9_ORPO,salad,123,0.75,0.99,,0.1,56.6,NVIDIA GeForce RTX 4090,vastai-orpo
P9_ORPO,Qwen2.5-0.5B-Instruct,P9_ORPO,salad,42,0.75,0.99,,0.1,56.7,NVIDIA GeForce RTX 4090,vastai-orpo
P9_ORPO,Qwen2.5-0.5B-Instruct,P9_ORPO,salad,456,0.7494,0.99,,0.1,57.1,NVIDIA GeForce RTX 4090,vastai-orpo
P9_ORPO,Qwen2.5-0.5B-Instruct,P9_ORPO,salad,77,0.75,0.99,,0.1,57.5,NVIDIA GeForce RTX 4090,vastai-orpo
P9_SFT,Qwen2.5-0.5B-Instruct,P9_SFT,salad,42,0.7529,0.5,N/A,,9.1,NVIDIA GeForce RTX 4090,p9
